tap,spoon,plate,cupboard,knife,pan,lid,bowl,drawer,sponge,glass,hand,fridge,cup,fork,bottle,onion,cloth,board:chopping,bag,spatula,container,liquid:washing,box,hob,dough,package,water,meat,pot,potato,oil,cheese,bread,food,tray,bin,pepper,salt,colander,jar,carrot,top,tomato,kettle,pasta,oven,sauce,skin,paper,maker:coffee,garlic,towel,egg,rubbish,rice,chicken,cutlery,glove,sink,jug,asparagus,quorn,gherkin,popcorn,balloon,computer,key,pillow,whiskey,door:kitchen,tape,tails
41,21,22,18,16,18,7,8,7,2,2,11,6,15,11,1,7,8,1,3,1,1,6,3,10,3,1,3,1,1,2,7,4,0,7,2,1,1,0,2,1,2,2,1,2,3,0,5,2,1,4,2,0,1,4,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,61
11,29,15,14,15,7,17,10,7,8,5,11,6,9,8,2,12,6,5,3,1,2,3,4,7,6,6,5,1,4,2,1,0,1,4,1,1,3,2,2,1,2,1,1,4,6,5,2,0,0,6,3,1,1,4,3,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,39
17,13,63,16,9,13,8,16,9,15,14,9,9,10,6,10,10,6,5,5,2,5,5,3,5,0,7,3,0,7,2,3,6,0,3,6,2,0,1,3,0,0,2,3,3,3,2,3,3,0,3,0,1,0,1,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,73
9,11,25,49,12,13,8,7,14,3,5,6,10,13,3,2,3,0,4,7,3,3,7,6,4,1,10,9,2,7,2,5,4,3,3,3,0,1,2,3,4,0,1,6,2,3,2,5,2,1,1,0,0,3,3,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,40
21,6,10,13,16,13,6,13,10,5,3,5,11,3,12,6,3,4,4,5,1,1,3,4,5,0,2,3,1,4,1,6,2,1,9,2,2,0,2,7,2,1,2,3,2,0,3,5,4,2,1,0,1,0,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,45
16,7,8,7,9,26,15,9,8,1,5,8,14,5,9,2,6,3,2,5,1,2,5,2,2,1,7,1,2,13,0,5,2,3,5,2,3,4,1,6,0,6,1,4,0,2,4,0,0,1,1,2,0,0,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
10,3,12,13,9,11,12,4,5,0,4,4,6,3,5,1,2,6,4,3,5,4,1,1,3,2,4,2,1,5,0,5,3,0,6,0,4,7,2,2,0,0,0,1,4,2,1,3,0,0,2,0,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,48
11,10,20,11,8,11,10,28,4,5,5,6,3,15,5,2,15,3,0,2,2,1,2,3,1,2,4,3,0,7,5,3,1,3,1,0,0,0,0,0,2,0,0,1,1,5,0,2,1,1,10,6,1,0,1,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,39
11,12,12,10,14,4,6,6,15,4,4,7,7,4,8,5,0,1,1,4,1,4,1,3,3,1,3,2,2,2,1,4,3,4,3,2,0,5,0,3,1,1,0,2,2,2,2,4,2,0,4,0,1,1,0,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,31
5,5,6,1,8,4,0,3,6,9,2,3,2,0,2,1,0,3,1,2,1,0,1,2,1,0,2,0,0,2,2,2,1,0,4,0,2,0,0,1,0,0,0,0,0,2,3,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
